seq_id,driver,category,s_samples,v_samples,s_sampling_rate_hz,v_sampling_rate_hz,s_duration_s,v_duration_s,missing_imu_pct,speed_mean_kmh,speed_max_kmh,has_accel,has_gyro,has_mag,has_gravity,has_gps_speed,has_vehicle_speed,usable
M,B,M,105974,105974,10.0,10.0,6176.0,10597.3,0.0,35.7,100.7,True,True,True,True,True,True,True
S1,A,S,51746,51746,10.0,10.0,5174.5,5174.5,0.0,26.4,93.8,True,True,True,True,True,True,True
S2,A,S,93876,93876,10.0,10.0,9201.1,9387.5,0.0,28.9,105.2,True,True,True,True,True,True,True
S3a,A,S,24621,24621,10.0,10.0,2462.0,2462.0,0.0,37.9,98.0,True,True,True,True,True,True,True
S3b,A,S,6813,6813,10.0,10.0,2707.5,681.2,0.0,19.9,44.7,True,True,True,True,True,True,True
S3c,A,S,37183,37183,10.0,10.0,3718.2,3718.2,0.0,42.3,117.1,True,True,True,True,True,True,True
S4,A,S,94600,94600,10.0,10.0,5578.0,9459.9,0.0,33.7,109.6,True,True,True,True,True,True,True
Vfa01,E,Vf,11486,11535,10.0,10.0,1148.5,1153.4,0.0,58.6,98.4,True,True,True,True,True,True,True
Vfa02,E,Vf,67523,67755,10.0,10.0,6752.2,6775.4,0.0,86.7,117.9,True,True,True,True,True,True,True
Vta1a,E,Vta,25676,25676,10.0,10.0,2567.5,2567.5,0.0,57.1,103.4,True,True,True,True,True,True,True
Vta1b,E,Vta,954,953,10.0,10.0,95.3,95.2,0.0,47.5,77.7,True,True,True,True,True,True,True
Vta2,E,Vta,10991,10991,10.0,10.0,1099.0,1099.0,0.0,36.2,81.6,True,True,True,True,True,True,True
Vta3,E,Vta,645,645,10.0,10.0,64.4,64.4,0.0,21.0,45.8,True,True,True,True,True,True,True
Vta4,E,Vta,1789,1789,10.0,10.0,178.8,178.8,0.0,40.1,51.7,True,True,True,True,True,True,True
Vta5,E,Vta,307,307,10.0,10.0,30.6,30.6,0.0,42.5,51.1,True,True,True,True,True,True,True
Vta6,E,Vta,1376,1376,10.0,10.0,137.5,137.5,0.0,67.9,103.9,True,True,True,True,True,True,True
Vta7,E,Vta,840,840,10.0,10.0,83.9,83.9,0.0,64.6,113.1,True,True,True,True,True,True,True
Vta8,E,Vta,3676,3676,10.0,10.0,367.5,367.5,0.0,33.3,77.6,True,True,True,True,True,True,True
Vta9,E,Vta,156,156,10.0,10.0,15.5,15.5,0.0,71.8,87.4,True,True,True,True,True,True,True
Vta10,E,Vta,1502,1502,10.0,10.0,150.1,150.1,0.0,90.0,118.0,True,True,True,True,True,True,True
Vta11,E,Vta,510,510,10.0,10.0,50.9,50.9,0.0,50.6,97.7,True,True,True,True,True,True,True
Vta12,E,Vta,610,610,10.0,10.0,60.9,60.9,0.0,66.3,85.3,True,True,True,True,True,True,True
Vta13,E,Vta,404,404,10.0,10.0,40.3,40.3,0.0,87.3,103.6,True,True,True,True,True,True,True
Vta14,E,Vta,2885,2885,10.0,10.0,288.4,288.4,0.0,67.8,91.0,True,True,True,True,True,True,True
Vta15,E,Vta,833,833,10.0,10.0,83.2,83.2,0.0,71.6,78.8,True,True,True,True,True,True,True
Vta16,E,Vta,11335,11335,10.0,10.0,1133.4,1133.4,0.0,43.4,93.9,True,True,True,True,True,True,True
Vta17,E,Vta,4519,4519,10.0,10.0,453.0,451.8,0.0,32.7,56.2,True,True,True,True,True,True,True
Vta19,E,Vta,292,292,10.0,10.0,29.1,29.1,0.0,29.1,54.3,True,True,True,True,True,True,True
Vta20,E,Vta,3223,3223,10.0,10.0,322.2,322.2,0.0,4.2,44.8,True,True,True,True,True,True,True
Vta21,E,Vta,2079,2079,10.0,10.0,207.8,207.8,0.0,47.8,74.8,True,True,True,True,True,True,True
Vta22,E,Vta,1564,1564,10.0,10.0,156.3,156.3,0.0,38.2,55.8,True,True,True,True,True,True,True
Vta23,E,Vta,1110,1110,10.0,10.0,110.9,110.9,0.0,35.3,51.9,True,True,True,True,True,True,True
Vta24,E,Vta,1171,1171,10.0,10.0,117.0,117.0,0.0,21.4,56.4,True,True,True,True,True,True,True
Vta25,E,Vta,646,646,10.0,10.0,64.5,64.5,0.0,8.9,48.6,True,True,True,True,True,True,True
Vta26,E,Vta,1935,1935,10.0,10.0,193.4,193.4,0.0,18.6,55.1,True,True,True,True,True,True,True
